id,type,text1,text2,text3,text4,notes,Column 08,Column 09,Column 10
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
#astral,SHIP,Text goes here,,,,,,,
sr_miningdrone,SHIP,"Humanity's laziness causes them to create abominations that are hard to understand. These vary from useless massive hulks of battleships to hypercomplicated and incomprehensable quantum engines but sometimes they think simple. The Mordex, an automated mining drone that is attached to mining fleets to increase their effectiveness, is one of them. After the Collapse, the need for mining new resources as well as salvaging old resources increased substantially which lead into the Mordex becoming much more mainstream. There are some nicknames for the Mordex such as ""Resource Hound"" or ""Cheap Exorcist"". Regardless of nicknames, the Mordex is combat and mining proven for usage in void combat and other operations.",,,,,,,
sr_primaevus,SHIP,"As combat in the void became more reliant on wings and usage of missiles for a short period of time, the Primaevus was invented to counteract this style of fight. Carrying a high damage lightning missile, this interceptor wing excels in anti-fighter operations yet fails against massed fighter formations and swarm missiles. Thanks to it's missile some name the Primaevus as ""Javelinier"".",,,,,,,
sr_mastodon,SHIP,"Thanks to the extensive research conducted by Belladona on exotic gases used in mining the Mastodon excels in usage of it's armament. Designed as a heavy yet nimble fighter that will keep the enemy PDs occupied and do some amount of damage while doing so, the Mastodon does it's job fairly well. Its best paired with a group of bombers or when used in swarms against a medium target. After successful escort missions and assault runs, often times the crews would light their cigars against the cooling melted barrels of the LPCs, captains hated it but all even the most by the books officers couldn't say no to the daring crewmen.",,,,,,,
sr_loxodonta,SHIP,"The Loxodonta is the heavier cousin of the Mastodon. It boasts higher firepower as well as heavier armor while maintaining the reliability of the Mastodon. Despite most efforts, the more guns and heavier armor made it a good bit slower, making Loxodonta in need of light escort to fulfill it's duty as an Assault fighter. The Loxodonta in a well equipped fleet can do wonders against the carrier's target while taking a good punch by the enemy PD in the process.",,,,,,,
sr_albicollis,SHIP,"What is better than a large, slow escort corvette? A large, slow phase escort corvette! And the Irritator is just that. One of the largest LPCs to be produced from a ship's mass printers that is both phase capable and an escort wing. Due to the complexity of it's creation, the Irritator puts a large toll on the host ship making it very slow to replace if lost in combat.",,,,,,,
sr_moriorum,SHIP,"When the question of what should some of the slower Belladona ships should do if they come into contact with fast and agile carrier groups, the answer was the Moriorium fighter. This fighter was made to be cheap and comes equipped with two retrofited kenzingtons loaded with anti-armor ammo. The thought process behind it was not to damage and take out enemy capitals, but simply deny the enemy the usability of their fighters while Belladona warships finish the job.",,,,,,,
sr_elephas,SHIP,"Space is full of riches and dangers, and competent space miners are at the core of each space based economy. After cycles of collecting data the Belladona logistics board found that a large amount of crew casualties on mining operations came from unmanned mining drones. This prompted the design of the Elephas manned mining rig, a much more armoured and durable drone that is meant to protect its pilot. The increased size of the rig also allowed the installation of much more powerful equipment, the Krish light plasma flamer, a massive torch that can effectively smelt ores while they are being mined unlike the regular mining lasers. As an added benefit it also became effective in the roles of anti-fighter and support pressure roles.",,,,,,,
sr_melvillei,SHIP,"The pride of the House Belladona fleet, the Melvillei-class Assault Dreadnought. This monster of a ship is designed with extermination in mind, and unlike the lumbering fortresses orbiting House Belladona's planets the Melvillei is fairly mobile for its size. It sports House Belladona's latest engineering innovations designed specifically for the Melvillei, massive blow-out armour plates reminiscent of Old-Earth ERA technology to protect key weapon systems and bridge sections. In addition it also is equipped with the newest generation of auxiliary Vernier engines that assist the massive ship with quick tactical repositioning on the battlefield. Rumours state that the original blueprint was supposed to be equipped with something that appeared to be... A teleportation system using [REDACTED] technology, however on paper, both figuratively and literally, only the current blueprint seems to remain....",,,,,,,
